"QuestionID","strQuestion","Reference","blnOpen","blnPrivate","blnRandomizeAnswer","Random","CategoryID","Times Used","Manual","A/C Type","System","WCN","Updated","Chapter","Page","Remarks","Position","Sub-Category","FillInBlankQuestion"
936,"What track types may be displayed on Minotaur? (select all that apply).",,0,0,0,0.62,1,0,"NATOPS","MQ-4C","MINOTAUR",,8/1/2025 0:00:00,"24.2.2","24-68",,"TACCO","MINOTAUR",0
937,"The Electrical Optical Infrared (EOIR) Turret Unit (TU) contains what 4 Sensors?",,0,0,0,0.73,1,0,"NATOPS","MQ-4C","EO/IR",,8/1/2025 0:00:00,"23.4.1.1","23-15",,"TACCO","SYSTEMS",0
938,"___ indicates electro-optical (EO)/infrared (IR) imagery is available for the track.",,1,0,0,0.66,1,0,"NATOPS","MQ-4C","MINOTAUR",,8/1/2025 0:00:00,"Fig 24-63","24-70",,"TACCO","PAYLOAD MANAGEMENT",0
939,"After selection of Phone Home, it can take up to _________ for a connection to AMP to be established. AMP Status should report LIVE and PLC2 Channel should turn green.",,1,0,0,0.88,1,0,"NATOPS","MQ-4C","PHONE HOME",,8/1/2025 0:00:00,"26.1.4","26-7",,"TACCO","NOTE, CAUTION, WARNING",0
940,"During an AMP Only power cycle a BAR re-pin is required.",,0,0,0,0.95,1,0,"NATOPS","MQ-4C","BAR",,8/1/2025 0:00:00,"26.1.3","26-4",,"TACCO","PAYLOAD MANAGEMENT",0
941,"If the AMP is powered off while the BAR is powered on and pinned for longer than the IMMC/BAR heartbeat timer, the BAR crypto will be zeroized. What is the timer range that can be configred by the GMVO?",,1,0,0,0.23,1,0,"NATOPS","MQ-4C","BAR/AMP",,8/1/2025 0:00:00,"26.1.1","26-1",,"TACCO","TROUBLESHOOTING",0
942,"Which subsystem provides SATCOM and Line of Sight (LOS) communications and payload data between the UA and the MCS.",,0,0,0,0.64,1,0,"NATOPS","MQ-4C","FAULT CODES",,8/1/2025 0:00:00,"19.2.1.1","19-3",,"TACCO","MCS",0
943,"Which of the following is the primary MOB interface for a Triton UAS operator?",,0,0,0,0.67,1,0,"NATOPS","MQ-4C","OWS",,8/1/2025 0:00:00,"FIG 1-10","1-8",,"TACCO","MCS",0
946,"Consideration should be given to securing _____ power prior to capturing the IAF. It is possible to lose WBSC when power is removed from the ______.",,0,0,0,0.85,1,0,"NATOPS","MQ-4C","MFAS",,8/1/2025 0:00:00,"7.1.20","7-24",,"TACCO","SYSTEMS",0
948,"If the MCS is being powered by the UPS, ___minutes of power is available 
which will allow enough time to shut the system down safely.",,0,0,0,0.04,1,0,"NATOPS","MQ-4C","POWER LOSS",,8/1/2025 0:00:00,"12.2.2","12-3",,"TACCO","EMERGENCIES",0
949,"CONT-3 can be confirmed by verifying IFF Mode 3 as ____.",,0,0,0,0.94,1,0,"NATOPS","MQ-4C","CONT-3",,8/1/2025 0:00:00,"2.21.5.5","2-199",,"TACCO","EMERGENCIES",0
950,"The____ supports planning, collection, storage, processing, and transmission of ISR data.",,0,0,0,0.51,1,0,"NATOPS","MQ-4C","AMP",,8/1/2025 0:00:00,"22.1","22-1",,"TACCO","SYSTEMS",0
951,"In the TSCP Color Scheme, what does Black indicate?",,0,0,0,0.62,1,0,"NATOPS","MQ-4C","TSCP",,8/1/2025 0:00:00,"FIG 19-39","19-52",,"TACCO","COMMUNICATIONS",0
953,"In the TSCP Color Scheme, what does Red indicate?",,0,0,0,0.98,1,0,"NATOPS","MQ-4C","TSCP",,8/1/2025 0:00:00,"FIG 19-39","19-51",,"TACCO","COMMUNICATIONS",0
954,"In the TSCP Color Scheme, what does Yellow indicate?",,0,0,0,0.37,1,0,"NATOPS","MQ-4C","TSCP",,8/1/2025 0:00:00,"FIG 19-39","19-51",,"TACCO","COMMUNICATIONS",0
955,"In the TSCP Color Scheme, what does Gray indicate? (Select all that apply).",,0,0,0,0.74,1,0,"NATOPS","MQ-4C","TSCP",,8/1/2025 0:00:00,"FIG 19-39","19-51",,"TACCO","COMMUNICATIONS",0
958,"Which of the following commands will cancel a Contingency 2 route?",,0,0,0,0.63,1,0,"NATOPS","MQ-4C","CONT-2",,8/1/2025 0:00:00,"2.21.5.2","2-197",,"TACCO","EMERGENCIES",0
960,"	An _____ signifies that an event has occurred and the user must follow-up with action.",,0,0,0,0.43,1,0,"NATOPS","MQ-4C","FAULT CODES",,8/1/2025 0:00:00,"FIG 19-70","19-86",,"TACCO","SYSTEMS",0
961,"Consideration should be given to securing MFAS power prior to capturing the IAF. It is possible to lose ____ when power is removed from the MFAS.",,1,0,0,0.04,1,0,"NATOPS","MQ-4C","MFAS",,8/1/2025 0:00:00,"7.2.22","7-67",,"TACCO","NOTE, CAUTION, WARNING",0
962,"What type of coolant is used to cool the SATCOM HPA / high voltage power supply?",,0,0,0,0.21,1,0,"NATOPS","MQ-4C","ECS",,8/1/2025 0:00:00,"2.8.6","2-44",,"TACCO","SYSTEMS",0
963,"An audible tone is triggered and a large red X and the words TELEMETRY 
LOST are displayed on the ADI when stale data meter exceeds how long?",,0,0,0,0.22,1,0,"NATOPS","MQ-4C","CONT-1",,8/1/2025 0:00:00,"2.21.5.1","2-196",,"TACCO","CONTINGENCIES",0
965,"The Liquid Cooling System (LCS) provides liquid cooling to the Antenna Group Assembly (AGA) and Wideband Receiver Exciter (WBRE) using ______________.",,0,0,0,0.19,1,0,"NATOPS","MQ-4C","ECS",,8/1/2025 0:00:00,"23.3","23-6",,"TACCO","SYSTEMS",0
969,"Which of the following does the Mission Manager require to orchestrate the automated surveillance mission? (Select all that apply)",,0,0,0,0.28,1,0,"NATOPS","MQ-4C","MISSION PLAN",,8/1/2025 0:00:00,"22.1.1.1.15","22-5",,"TACCO","SOFTWARE",0
970,"Which of the following UA malfuctions cause a transition to CONT-3? (Select all the apply).",,1,0,0,1.181841e-03,1,0,"NATOPS","MQ-4C","CONT-3",,8/1/2025 0:00:00,"2.21.5.5","2-199",,"TACCO","EMERGENCIES",0
971,"If TU AMB Temperature is warmer than -38C and cooler than or equal to -35C, an in-flight restart shall be completed within 6 minutes to prevent _________?",,0,0,0,0.86,1,0,"NATOPS","MQ-4C","LIMITATIONS",,8/1/2025 0:00:00,"23.4.6.1","23-25",,"TACCO","SYSTEMS",0
972,"An EO/IR power cycle with the turret unit ambient temperature (TU AMB) of ____ or cooler will damage the turret.",,1,0,0,5.22697e-03,1,0,"NATOPS","MQ-4C","ESM",,8/1/2025 0:00:00,"23.4.6.1","23-25",,"TACCO","SYSTEMS",0
973,"During continuous operation, damage to the MFAS AGA may occur in operations cooler than -70°C.",,1,0,0,0.58,1,0,"NATOPS","MQ-4C","MFAS",,8/1/2025 0:00:00,"Fig 23-5","23-7",,"TACCO","NOTE, CAUTION, WARNING",0
974,"MFAS is prevented from being powered on by the IMMC when climbing above _______ feet.",,0,0,0,0.83,1,0,"NATOPS","MQ-4C","MFAS",,8/1/2025 0:00:00,"FIG 23-6","23-8",,"TACCO","LIMITATIONS",0
975,"The maximum allowed TT18 temperature for MFAS operation is:",,1,0,0,0.82,1,0,"NATOPS","MQ-4C","MFAS",,8/1/2025 0:00:00,"23.3.1.3.3","23-9",,"TACCO","LIMITATIONS",0
976,"During normal operating conditions, the EO/IR will be in the stowed and snubbed configuration before removing power from the system. If the EO/IR sensor is not safe for takeoff and landing, the Snubber Status will indicate DISENGAGED at both the Snubber indicator within the Turret C2 Tab and on the Snubber Activity Display page within the Minotaur Video Viewer.",,1,0,0,0.13,1,0,"NATOPS","MQ-4C","EO/IR",,8/1/2025 0:00:00,"23.4.6","23-25",,"TACCO","Note, Caution, Warning",0
977,"Takeoff or landing with the TU not snubbed (manual or active) may cause damage to the inner gimbal.",,1,0,0,0.20,1,0,"NATOPS","MQ-4C","EO/IR",,8/1/2025 0:00:00,"23.4.6","23-24",,"TACCO","NOTE, CAUTION, WARNING",0
978,"If the manual snubbers are not disengaged _____   _____, the TU will produce a GIM DIS 000 and will not accept a command to be move during flight.",,1,0,0,0.25,1,0,"NATOPS","MQ-4C","EO/IR",,8/1/2025 0:00:00,"23.4.6","23-24",,"TACCO","NOTE, CAUTION, WARNING",0
980,"If MFAS is ON and the barometric altitude is 55,000 ft to 58,999 ft the ________ will inhibit MFAS transmission.",,0,0,0,0.15,1,0,"NATOPS","MQ-4C","MFAS",,8/1/2025 0:00:00,"Fig 23-6","23-8",,"TACCO","LIMITATIONS",0
981,"Failure to perform an MFAS Power Off command after an unsuccessful MFAS Power On command may result in failure of additional Power On attempts.",,0,0,0,0.64,1,0,"NATOPS","MQ-4C","MFAS",,8/1/2025 0:00:00,"7.2.18","7-63",,"TACCO","NOTE, CAUTION, WARNING",0
983,"Performing a NUC with only sky in the FOV may damage the IR sensor due to video burn in?",,0,0,0,0.93,1,0,"NATOPS","MQ-4C","EO/IR",,8/1/2025 0:00:00,"7.2.12.5","7-57",,"TACCO","NOTE, CAUTION, WARNING",0
984,"	Descent or landing with the EO/IR system in the OFF state and snubbers engaged may result in EO/IR _____ _____ and damage to the EO/IR TU on subsequent power cycles.",,1,0,0,0.78,1,0,"NATOPS","MQ-4C","EO/IR",,8/1/2025 0:00:00,"7.2.23","7-68",,"TACCO","LIMITATIONS",0
985,"	If video fails to _______ at one FOV, sensor operators may manually switch to the next wider FOV to attempt to capture more geographic features.",,1,0,0,0.48,1,0,"NATOPS","MQ-4C","EO/IR",,8/1/2025 0:00:00,"24.2.30","24-245",,"TACCO","NOTE, CAUTION, WARNING",0
986,"Which system, when used as the only link, should the user limit to only Phone Home and Sensor Power On/Off?",,1,0,0,0.13,1,0,"NATOPS","MQ-4C","AMP",,8/1/2025 0:00:00,"19.11.9.4.1","19-229",,"TACCO","NOTE, CAUTION, WARNING",0
987,"During preflight, If EO/IR EU temperature exceeds 70 °C, consideration should be given to powering EO/IR off until___________.",,1,0,0,0.18,1,0,"NATOPS","MQ-4C","EO/IR",,8/1/2025 0:00:00,"7.2.12","7-55",,"TACCO","SYSTEMS",0
988,"What caution is displayed to the AVP when the IMMC inhibits the MFAS from transmitting when the UA is between 55,000 ft and 58,999 ft",,1,0,0,0.57,1,0,"NATOPS","MQ-4C","MFAS",,8/1/2025 0:00:00,"Fig 23-6","23-8",,"TACCO","FAULT CODES",1
991,"There is no time limit for an MFAS off state when TAT is warmer than ___ °C as long as PAO flow is functioning normally",,1,0,0,0.12,1,0,"NATOPS","MQ-4C","MFAS",,8/1/2025 0:00:00,"FIG 23-5","23-7",,"TACCO","NOTE, CAUTION, WARNING",0
992,"What is the Maximum TT18 Limit to command MFAS power on?",,1,0,0,0.21,1,0,"NATOPS","MQ-4C","MFAS",,8/1/2025 0:00:00,"23.3.1.3.3","23-9",,"TACCO","LIMITATIONS",0
993,"The ground station manager sends payload and AMP status to the ground station.",,0,0,0,0.48,1,0,"NATOPS","MQ-4C","AMP",,8/1/2025 0:00:00,"22.1.1.1.8","22-4",,"TACCO","SYSTEMS",0
994,"In the event that the AMP does not come back on line, control of the payloads will not be reestablished.",,0,0,0,0.67,1,0,"NATOPS","MQ-4C","AMP",,8/1/2025 0:00:00,"26.1.1","26-1",,"TACCO","PROCEDURES",0
996,"A BAR 6 Fault may not clear after a BAR I-BIT due to an AMP fault latching issue.",,1,0,0,0.08,1,0,"NATOPS","MQ-4C","BAR",,8/1/2025 0:00:00,"25-7","25-113",,"TACCO","SYSTEMS",0
997,"	Allowing the AMP to initiate the Stow command at the IAF with an executing task running may result in the EO/IR failing to stow.",,1,0,0,0.34,1,0,"NATOPS","MQ-4C","EO/IR",,8/1/2025 0:00:00,"7.2.22","7-67",,"TACCO","PROCEDURES",0
998,"Which fault code appears if there is an issue with EO/IR active snubbers? (select all that apply)",,1,0,0,0.09,1,0,"NATOPS","MQ-4C","EO/IR",,8/1/2025 0:00:00,"23.4.6","23-25",,"TACCO","NOTE, CAUTION, WARNING",0
1000,"If status is not green on the subsystem status BAR button, a BAR Re-pin must be performed.",,0,0,0,0.83,1,0,"NATOPS","MQ-4C","AMP",,8/1/2025 0:00:00,"26.1.4","26-7",,"TACCO","NOTE, CAUTION, WARNING",0
1001,"	When commanding ISAR, MFAS becomes dedicated to that task and other tasking is not interleaved.",,1,0,0,0.35,1,0,"NATOPS","MQ-4C","EO/IR",,8/1/2025 0:00:00,"23.3.3.5","23-11",,"TACCO","NOTE, CAUTION, WARNING",0
1004,"It takes approximately __ minutes for AMP software to load. A Phone Home cannot be established until software load is complete.",,1,0,0,0.78,1,0,"NATOPS","MQ-4C","AMP",,8/1/2025 0:00:00,"26.1.1","26-2",,"TACCO","NOTE, CAUTION, WARNING",0
1005,"Enabling or disabling an Action Point that is already in the commanded state will result in 'Command Unrecognized' being displayed in the Event History. The Action Point will remain in the commanded state.",,0,0,0,0.76,1,0,"NATOPS","MQ-4C","MISSION PLAN",,8/1/2025 0:00:00,"2.14.4","2-91",,"TACCO","NOTE, CAUTION, WARNING",0
1006,"	If the AMP is powered off while the BAR is powered on, for longer than the IMMC/BAR heartbeat timer (_-__) minutes, set by the GMVO), the BAR crypto will be zeroized, the AMP OFP will not load, and a Phone Home will not be possible.",,0,0,0,0.30,1,0,"NATOPS","MQ-4C","OPERATING PROCEDURES",,8/1/2025 0:00:00,"26.1.1","26-1",,"TACCO","NOTE, CAUTION, WARNING",1
1009,"Track symbol types are selectable via the Map Area Context Menu and include: (Select all that apply).",,1,0,0,0.77,1,0,"NATOPS","MQ-4C","Minotaur",,8/1/2025 0:00:00,"24.2.2.1","24-68",,"TACCO","Minotaur",0
1010,"Which J-Series message refers to Threat Warnings?",,1,0,0,0.11,1,0,"NATOPS","MQ-4C","LINK-16",,8/1/2025 0:00:00,"24.2.23.4","24-208",,"TACCO","SYSTEMS",0
1012,"What type of link should be established prior to starting the QoS Console. (Select all that apply)",,0,0,0,0.84,1,0,"NATOPS","MQ-4C","OPERATING PROCEDURES",,8/1/2025 0:00:00,"1.4.11","1-15",,"TACCO","NOTE, CAUTION, WARNING",0
1016,"What happens to AMP if Fault Code AMP 249 is received?",,1,0,0,0.92,1,0,"NATOPS","MQ-4C","FAULT CODES",,8/1/2025 0:00:00,"Fig 25-4","25-34",,"TACCO","SYSTEMS",1
1017,"What must be monitored during an AMP 284 Fault Code?",,1,0,0,0.42,1,0,"NATOPS","MQ-4C","OPERATING PROCEDURES",,8/1/2025 0:00:00,"Fig. 25-4","25-51",,"TACCO","PROCEDURES",1
1019,"INMARSAT fails when electrical power is less than______leaving insufficient
power to terminate the UA which may lead to loss of UA at an unplanned location.",,0,0,0,0.92,1,0,"NATOPS","MQ-4C","INMARSAT",,8/1/2025 0:00:00,"14.1.7","14-15",,"TACCO","NOTE, CAUTION, WARNING",0
1020,"The batteries are expected to support the UA for at least 42 minutes, during which time the UA can return safely for landing.",,0,0,0,0.14,1,0,"NATOPS","MQ-4C","DC Power",,8/1/2025 0:00:00,"2.9.2","2-51",,"TACCO","SYSTEMS",0
1021,"The IMMC completes electrical load configuration for an engine out CONT-3, providing about 42 minutes of controlled flight for the emergency glide.",,0,0,0,0.02,1,0,"NATOPS","MQ-4C","CONT-3",,8/1/2025 0:00:00,"11.4.8","11-26",,"TACCO","CONTINGENCIES",0
1023,"What type of equipment failure could result in UA loss of control.",,0,0,0,0.37,1,0,"NATOPS","MQ-4C","LOSS OF CONTROL",,8/1/2025 0:00:00,"11.4.5","11-25",,"TACCO","EMERGENCIES",0
1024,"If the UA is in flight when battery power fails, UA control will be maintained until touchdown.",,0,0,0,0.32,1,0,"NATOPS","MQ-4C","CONT-3",,8/1/2025 0:00:00,"11.4.8","11-26",,"TACCO","EMERGENCIES",0
1025,"How are the flight controls adjusted to cause the UA departure during an FTS command? (Select all that apply)",,1,0,0,0.75,1,0,"NATOPS","MQ-4C","FTS",,8/1/2025 0:00:00,"11.4.9","11-27",,"TACCO","EMERGENCIES",0
1026,"Apart from a PFD master warning indication, how might an engine fire be detected in the UA?",,1,0,0,0.17,1,0,"NATOPS","MQ-4C","ENGINE FIRE",,8/1/2025 0:00:00,"14.2.2","14-20",,"TACCO","EMERGENCIES",1
1028,"Flight Termination is available with bus voltage less than 23Vdc.",,0,0,0,0.65,1,0,"NATOPS","MQ-4C","FTS",,8/1/2025 0:00:00,"14.5","14-27",,"TACCO","EMERGENCIES",0
1029,"Which fault codes could appear during flight in turbulent conditions? (Select all that apply)",,1,0,0,0.49,1,0,"NATOPS","MQ-4C","FAULT CODES",,8/1/2025 0:00:00,"18.2.1","18-5",,"TACCO","SYSTEMS",0
1030,"Payload data is carried on which links? (Select all that apply)",,0,0,0,0.42,1,0,"NATOPS","MQ-4C","LINKS",,8/1/2025 0:00:00,"FIG 19-2","19-3",,"TACCO","SYSTEMS",0
1031,"The communication system consisits of the following BLOS voice and data links? (Select all that apply)",,0,0,0,0.64,1,0,"NATOPS","MQ-4C","LINKS",,8/1/2025 0:00:00,"19.1","19-2",,"TACCO","SYSTEMS",0
1032,"The MOB has UAV command and control capablility via WBSC link.",,1,0,0,0.97,1,0,"NATOPS","MQ-4C","LINKS",,8/1/2025 0:00:00,"Fig 19-2","19-3",,"TACCO","SYSTEMS",0
1036,"A frequency separation of _ MHz or less between VHF/UHF radios will result in degraded performance due to desensitization and intermittent squelch breaks.",,0,0,0,0.26,1,0,"NATOPS","MQ-4C","ARC-210",,8/1/2025 0:00:00,"19.2.2.1","19-7",,"TACCO","COMMUNICATIONS",0
1037,"_____ is a method for taking analog audio signals (voice) and turning them into digital data that can be transmitted over internet protocol (IP) networks.",,0,0,0,0.67,1,0,"NATOPS","MQ-4C","VoIP",,8/1/2025 0:00:00,"19.2.2.2","19-10",,"TACCO","COMMUNICATIONS",0
1038,"Where are UA IFF transponder codes and status displayed?",,0,0,0,0.43,1,0,"NATOPS","MQ-4C","IFF",,8/1/2025 0:00:00,"Fig 19-241","19-276",,"TACCO","COMMUNICATIONS",1
1039,"What color indicates an active link with the UA.",,0,0,0,0.61,1,0,"NATOPS","MQ-4C","LINKS",,8/1/2025 0:00:00,"FIG 19-160","19-184",,"TACCO","COMMUNICATIONS",0
1040,"Only one active link exists from a UA to a MCS site but more than one active link may exist if other sites are shadowing.",,1,0,0,0.13,1,0,"NATOPS","MQ-4C","LINKS",,8/1/2025 0:00:00,"FIG 19-160","19-184",,"TACCO","COMMUNICATIONS",0
1041,"In the event that all four navigation sources have the same navigation quality, the first two navigation solutions for the UAS selection hierarchy will be: (Select all that apply)",,0,0,0,0.03,1,0,"NATOPS","MQ-4C","NAVIGATION",,8/1/2025 0:00:00,"19.13.4.3","19-265",,"TACCO","SYSTEMS",0
1042,"Which navigation source(s) have GPS anti-jam protection through an anti-jam unit? (Select all that apply).",,0,0,0,0.60,1,0,"NATOPS","MQ-4C","NAVIGATION",,8/1/2025 0:00:00,"19.13.2.1","19-261",,"TACCO","SYSTEMS",0
1043,"When GPS jamming is detected in either omni or adapt mode, a yellow annunciator stating JAMMER DETECT is displayed on the PFD and an ___________________ will also appear on the Master Caution display.",,1,0,0,0.63,1,0,"NATOPS","MQ-4C","NAVIGATION",,8/1/2025 0:00:00,"19.13.2.1","19-261",,"TACCO","SYSTEMS",1
1044,"What navigation source supplies the navigational data to the EO/IR and resides on top of the EO/IR turret.",,0,0,0,0.26,1,0,"NATOPS","MQ-4C","NAVIGATION",,8/1/2025 0:00:00,"23.4.3","23-19",,"TACCO","SYSTEMS",0
1045,"If the UA is inflight and battery power fails, UA control will be lost.",,0,0,0,0.64,1,0,"NATOPS","MQ-4C","CONT-3",,8/1/2025 0:00:00,"11.4.8","11-26",,"TACCO","NOTE, CAUTION, WARNING",0
1047,"The operator should not attempt to command and control the payload(s), other than Phone Home and Sensor Power On/Off while on INMARSAT as the only link.",,0,0,0,0.75,1,0,"NATOPS","MQ-4C","PHONE HOME",,8/1/2025 0:00:00,"19.11.9.4.1","19-229",,"TACCO","NOTE, CAUTION, WARNING",0
1049,"Setting the CONT-1 timer to zero inhibits the timer and prevents the UA from starting a CONT-1.",,0,0,0,0.91,1,0,"NATOPS","MQ-4C","CONTINGENCIES",,8/1/2025 0:00:00,"2.21.5.1","2-196",,"TACCO","NOTE, CAUTION, WARNING",0
1050,"UA UHF radios 3, 4, and 5 are unavailable until WBSC is established.",,1,0,0,0.70,1,0,"NATOPS","MQ-4C","ARC-210",,8/1/2025 0:00:00,"7.1.10","7-11",,"TACCO","NOTE, CAUTION, WARNING",0
1051,"Multiple operator QoS Consoles are supported.",,0,0,0,0.31,1,0,"NATOPS","MQ-4C","QOS",,8/1/2025 0:00:00,"1.4.11","1-15",,"TACCO","NOTE, CAUTION, WARNING",0
1053,"When executing the BAR/AMP POWER CYCLE Checklist, the TC shall run an AMP IBIT.",,1,0,0,0.48,1,0,"NATOPS","MQ-4C","BAR/AMP POWER CYCLE",,8/1/2025 0:00:00,"26.1.2","26-3",,"TACCO","AMP",0
